"fecha";"Run Fondo";"serie";"1M";"3M";"6M";"1Y";"ytd"
2023-04-26;"8437";APV;-2.75%;"3.56%";-9.46%;-3.27%;-1.26%
2023-04-27;"8437";APV;-5.00%;"2.17%";-12.21%;-5.54%;-3.55%
2023-04-28;"8437";APV;-7.22%;"0.29%";-11.05%;-3.70%;-5.32%
2023-04-29;"8437";APV;-4.97%;"0.30%";-11.05%;-9.00%;-5.31%
2023-04-30;"8437";APV;-3.54%;"0.30%";-11.05%;-9.01%;-5.31%
2023-05-01;"8437";APV;-1.35%;"3.78%";-11.05%;-9.01%;-5.31%
2023-05-02;"8437";APV;-1.35%;"7.52%";-11.05%;-9.01%;-5.31%
2023-05-03;"8437";APV;-0.87%;"6.58%";-12.71%;-7.47%;-4.85%
2023-05-04;"8437";APV;"0.40%";"8.49%";-9.75%;-0.93%;-3.13%
2023-05-05;"8437";APV;-3.48%;"5.18%";-12.53%;-8.79%;-6.10%
2023-05-06;"8437";APV;-3.08%;"5.20%";-12.51%;-9.95%;-6.08%
2023-05-07;"8437";APV;-3.10%;"6.46%";-12.51%;-9.96%;-6.08%
2023-05-08;"8437";APV;-3.10%;"5.38%";-11.08%;-9.96%;-6.08%
2023-05-09;"8437";APV;-2.72%;"4.60%";-13.41%;-9.61%;-5.71%
2023-05-10;"8437";APV;-3.59%;"2.61%";-8.16%;-11.04%;-6.55%
2023-05-11;"8437";APV;-2.99%;"2.84%";-6.20%;-12.62%;-6.32%
2023-05-12;"8437";APV;-3.16%;"3.12%";-5.97%;-12.71%;-6.07%
2023-05-13;"8437";APV;-1.48%;"3.12%";-5.96%;-9.31%;-6.06%
2023-05-14;"8437";APV;-1.39%;"3.11%";-5.96%;-9.31%;-6.06%
2023-05-15;"8437";APV;-1.39%;"4.05%";-4.78%;-9.31%;-6.06%
2023-05-16;"8437";APV;-0.76%;"2.91%";-5.40%;-8.73%;-5.46%
2023-05-17;"8437";APV;-2.10%;-0.02%;-7.64%;-6.96%;-6.73%
2023-05-18;"8437";APV;-3.93%;-2.37%;-8.70%;-15.01%;-8.90%
2023-05-19;"8437";APV;-4.34%;-2.49%;-8.83%;-16.71%;-9.01%
2023-05-20;"8437";APV;-5.00%;-2.48%;-8.82%;-16.59%;-9.01%
2023-05-21;"8437";APV;-5.14%;-5.89%;-8.82%;-16.60%;-9.01%
2023-05-22;"8437";APV;-5.15%;-6.32%;-6.88%;-16.60%;-9.01%
2023-05-23;"8437";APV;-3.44%;-4.05%;-3.82%;-15.10%;-7.37%
2023-05-24;"8437";APV;-1.40%;-3.96%;-1.56%;-13.74%;-5.41%
2023-05-25;"8437";APV;-5.51%;-5.84%;-3.55%;-14.09%;-7.25%
2023-05-26;"8437";APV;-8.62%;-8.40%;-6.18%;-13.53%;-9.77%
2023-05-27;"8437";APV;-6.43%;-8.38%;-6.17%;-9.92%;-9.76%
2023-05-28;"8437";APV;-4.68%;-8.69%;-6.17%;-9.94%;-9.76%
2023-05-29;"8437";APV;-4.69%;-8.69%;-7.06%;-9.94%;-9.76%
2023-05-30;"8437";APV;-5.26%;-9.24%;-4.25%;-10.48%;-10.29%
2023-05-31;"8437";APV;-3.87%;-7.91%;-2.84%;-10.38%;-8.98%
2023-06-01;"8437";APV;-5.53%;-10.33%;-2.86%;-13.26%;-10.55%
2023-06-02;"8437";APV;-8.10%;-12.23%;-5.80%;-13.54%;-12.99%
2023-06-03;"8437";APV;-8.54%;-9.57%;-5.81%;-15.02%;-12.98%
2023-06-04;"8437";APV;-10.16%;-9.58%;-5.81%;-15.03%;-12.98%
2023-06-05;"8437";APV;-7.33%;-9.58%;-5.81%;-15.03%;-12.98%
2023-06-06;"8437";APV;-7.34%;-9.58%;-8.35%;-15.03%;-12.97%
2023-06-07;"8437";APV;-6.57%;-11.16%;-8.14%;-12.81%;-12.25%
2023-06-08;"8437";APV;-7.15%;-12.08%;-8.73%;-14.88%;-12.79%
2023-06-09;"8437";APV;-8.22%;-14.69%;-9.43%;-19.03%;-13.46%
2023-06-10;"8437";APV;-7.38%;-17.94%;-9.42%;-23.07%;-13.45%
2023-06-11;"8437";APV;-7.61%;-17.95%;-9.42%;-23.08%;-13.45%
2023-06-12;"8437";APV;-7.86%;-17.95%;-9.42%;-23.08%;-13.45%
2023-06-13;"8437";APV;-9.48%;-19.39%;-9.03%;-24.42%;-14.96%
2023-06-14;"8437";APV;-10.19%;-17.79%;-10.31%;-26.21%;-15.63%
2023-06-15;"8437";APV;-11.81%;-20.66%;-16.01%;-26.30%;-17.15%
2023-06-16;"8437";APV;-12.24%;-18.08%;-18.00%;-30.06%;-17.03%
2023-06-17;"8437";APV;-11.04%;-18.86%;-18.00%;-30.81%;-17.02%
2023-06-18;"8437";APV;-8.92%;-18.87%;-18.00%;-30.82%;-17.02%
2023-06-19;"8437";APV;-8.80%;-18.87%;-18.00%;-30.82%;-17.02%
2023-06-20;"8437";APV;-7.98%;-18.13%;-17.29%;-30.18%;-16.26%
2023-06-21;"8437";APV;-7.97%;-16.18%;-14.93%;-30.19%;-16.26%
2023-06-22;"8437";APV;-7.97%;-17.39%;-16.78%;-30.19%;-16.26%
2023-06-23;"8437";APV;-8.37%;-16.06%;-14.91%;-28.33%;-15.12%
2023-06-24;"8437";APV;-10.25%;-16.37%;-14.91%;-24.50%;-15.11%
2023-06-25;"8437";APV;-8.47%;-16.38%;-14.91%;-24.51%;-15.11%
2023-06-26;"8437";APV;-5.91%;-16.38%;-14.91%;-24.51%;-15.11%
2023-06-27;"8437";APV;-5.93%;-16.38%;-15.06%;-24.51%;-15.11%
2023-06-28;"8437";APV;-6.48%;-17.29%;-17.17%;-24.95%;-15.60%
2023-06-29;"8437";APV;-6.86%;-15.64%;-15.58%;-25.38%;-15.95%
2023-06-30;"8437";APV;-8.46%;-16.34%;-17.88%;-28.01%;-17.88%
2023-07-01;"8437";APV;-8.18%;-14.43%;-17.89%;-26.60%;-17.87%
2023-07-02;"8437";APV;-5.61%;-14.43%;-17.89%;-26.60%;-17.87%
2023-07-03;"8437";APV;-5.62%;-14.43%;-17.89%;-26.60%;-17.87%
2023-07-04;"8437";APV;-5.66%;-14.91%;-16.63%;-26.63%;-17.91%
2023-07-05;"8437";APV;-5.44%;-15.43%;-17.96%;-26.96%;-17.72%
2023-07-06;"8437";APV;-3.70%;-13.52%;-13.55%;-25.37%;-16.19%
2023-07-07;"8437";APV;-4.40%;-13.46%;-13.49%;-23.51%;-16.12%
2023-07-08;"8437";APV;-3.80%;-13.44%;-13.47%;-23.54%;-16.10%
2023-07-09;"8437";APV;-3.05%;-13.44%;-13.47%;-23.55%;-16.10%
2023-07-10;"8437";APV;-3.06%;-13.44%;-13.61%;-23.55%;-16.10%
2023-07-11;"8437";APV;-4.17%;-14.11%;-12.83%;-24.43%;-17.06%
2023-07-12;"8437";APV;-6.31%;-16.40%;-14.09%;-27.12%;-18.91%
2023-07-13;"8437";APV;-6.19%;-16.34%;-15.03%;-28.95%;-20.23%
2023-07-14;"8437";APV;-5.83%;-16.60%;-15.39%;-29.81%;-20.55%
2023-07-15;"8437";APV;-4.09%;-16.59%;-15.38%;-27.69%;-20.54%
2023-07-16;"8437";APV;-4.23%;-16.59%;-15.38%;-27.71%;-20.54%
2023-07-17;"8437";APV;-4.24%;-16.59%;-15.65%;-27.71%;-20.54%
2023-07-18;"8437";APV;-5.34%;-17.17%;-18.79%;-28.54%;-21.45%
2023-07-19;"8437";APV;-6.22%;-18.19%;-21.26%;-26.26%;-22.18%
2023-07-20;"8437";APV;-5.32%;-17.23%;-17.85%;-24.29%;-20.72%
2023-07-21;"8437";APV;-4.98%;-17.05%;-17.56%;-23.02%;-20.43%
2023-07-22;"8437";APV;-4.98%;-17.05%;-17.56%;-23.80%;-20.42%
2023-07-23;"8437";APV;-6.25%;-17.05%;-17.56%;-23.82%;-20.42%
2023-07-24;"8437";APV;-6.26%;-17.05%;-17.66%;-23.82%;-20.42%
2023-07-25;"8437";APV;-7.00%;-19.57%;-18.81%;-24.42%;-21.05%
2023-07-26;"8437";APV;-6.79%;-19.86%;-17.01%;-25.27%;-20.87%
2023-07-27;"8437";APV;-6.80%;-17.96%;-16.18%;-22.69%;-20.88%
2023-07-28;"8437";APV;-7.38%;-17.44%;-17.20%;-21.96%;-21.83%
2023-07-29;"8437";APV;-6.99%;-17.43%;-17.19%;-20.46%;-21.82%
2023-07-30;"8437";APV;-4.79%;-17.43%;-17.19%;-20.48%;-21.82%
2023-07-31;"8437";APV;-4.79%;-17.43%;-15.97%;-20.48%;-21.82%
2023-01-31;"8488";APV;"4.15%";"56.03%";"5.69%";"145.34%";"4.16%"
2023-02-01;"8488";APV;"1.75%";"52.43%";"3.25%";"175.35%";"1.75%"
2023-02-02;"8488";APV;-1.28%;"47.88%";"4.37%";"181.20%";-1.28%
2023-02-03;"8488";APV;-13.46%;"17.39%";-0.64%;"134.48%";-13.45%
2023-02-04;"8488";APV;-14.22%;"13.13%";"7.92%";"111.62%";-13.45%
2023-02-05;"8488";APV;-12.81%;"13.12%";"13.62%";"111.61%";-13.45%
2023-02-06;"8488";APV;-19.42%;"13.12%";"13.61%";"111.61%";-13.45%
2023-02-07;"8488";APV;-16.20%;"17.65%";"18.15%";"120.07%";-9.99%
2023-02-08;"8488";APV;-16.75%;"12.83%";"17.38%";"117.70%";-10.58%
2023-02-09;"8488";APV;-14.91%;"16.39%";"20.87%";"124.52%";-8.60%
2023-02-10;"8488";APV;-9.78%;"6.28%";"11.30%";"137.57%";-7.76%
2023-02-11;"8488";APV;-9.65%;"30.59%";"25.11%";"134.87%";-7.75%
2023-02-12;"8488";APV;-5.71%;"30.59%";"21.29%";"134.86%";-7.75%
2023-02-13;"8488";APV;-4.13%;"30.59%";"21.29%";"134.86%";-7.75%
2023-02-14;"8488";APV;-6.54%;"27.31%";"18.25%";"128.97%";-10.07%
2023-02-15;"8488";APV;-11.91%;"13.00%";"11.45%";"110.81%";-15.24%
2023-02-16;"8488";APV;-21.47%;"10.01%";-0.65%;"100.81%";-24.44%
2023-02-17;"8488";APV;-14.70%;"17.41%";"9.78%";"103.26%";-17.74%
2023-02-18;"8488";APV;-13.96%;"13.18%";"7.83%";"83.27%";-17.74%
2023-02-19;"8488";APV;-13.56%;"13.18%";"12.14%";"83.26%";-17.74%
2023-02-20;"8488";APV;-19.14%;"13.18%";"12.14%";"83.26%";-17.74%
2023-02-21;"8488";APV;-20.31%;"11.56%";"10.53%";"80.64%";-18.92%
2023-02-22;"8488";APV;-15.02%;"12.02%";"17.86%";"90.73%";-13.53%
2023-02-23;"8488";APV;-15.90%;"8.65%";"5.69%";"75.69%";-14.43%
2023-02-24;"8488";APV;-15.70%;"5.78%";-1.94%;"66.24%";-17.77%
2023-02-25;"8488";APV;-17.98%;"6.77%";-0.39%;"87.58%";-17.76%
2023-02-26;"8488";APV;-16.85%;"6.77%";"4.79%";"87.57%";-17.76%
2023-02-27;"8488";APV;-14.45%;"6.77%";"4.78%";"87.57%";-17.76%
2023-02-28;"8488";APV;-15.01%;"6.08%";"4.11%";"86.36%";-18.29%
2023-03-01;"8488";APV;-16.97%;"7.76%";"3.31%";"102.69%";-15.52%
2023-03-02;"8488";APV;-12.52%;"11.99%";-3.06%;"102.07%";-13.64%
2023-03-03;"8488";APV;-0.11%;"12.10%";-2.96%;"98.34%";-13.55%
2023-03-04;"8488";APV;-0.11%;"12.11%";-2.96%;"76.48%";-13.54%
2023-03-05;"8488";APV;-0.11%;"12.11%";-2.96%;"76.47%";-13.54%
2023-03-06;"8488";APV;-0.11%;"2.07%";"1.99%";"76.47%";-13.54%
2023-03-07;"8488";APV;-0.87%;-1.27%;"2.57%";"82.14%";-10.77%
2023-03-08;"8488";APV;-0.29%;-1.35%;"8.42%";"64.03%";-10.84%
2023-03-09;"8488";APV;-1.49%;-0.39%;"14.50%";"62.64%";-9.97%
2023-03-10;"8488";APV;"4.57%";"6.71%";"22.66%";"97.14%";-3.55%
2023-03-11;"8488";APV;"4.57%";"6.71%";"22.66%";"83.14%";-3.54%
2023-03-12;"8488";APV;"4.57%";"6.71%";"22.66%";"83.13%";-3.54%
2023-03-13;"8488";APV;"4.57%";"11.45%";"30.29%";"83.13%";-3.54%
2023-03-14;"8488";APV;"4.24%";"12.66%";"15.02%";"77.98%";-6.25%
2023-03-15;"8488";APV;"1.17%";"5.35%";"10.59%";"51.91%";-14.25%
2023-03-16;"8488";APV;"11.20%";-4.02%;"8.36%";"53.18%";-15.97%
2023-07-15;"8480";APV;-7.32%;-15.25%;-15.62%;-10.47%;-20.40%
2023-03-17;"8488";APV;-4.11%;-9.92%;"1.71%";"67.83%";-21.12%
2023-03-18;"8488";APV;-4.11%;-9.91%;"1.72%";"83.96%";-21.12%
2023-03-19;"8488";APV;-4.11%;-9.91%;"1.72%";"83.95%";-21.12%
2023-03-20;"8488";APV;-4.11%;-14.37%;"1.72%";"83.95%";-21.12%
2023-03-21;"8488";APV;-0.87%;-13.29%;"1.23%";"87.44%";-19.63%
2023-03-22;"8488";APV;-11.52%;-16.96%;-4.90%;"64.86%";-23.50%
2023-03-23;"8488";APV;-2.55%;-12.99%;"0.17%";"94.68%";-16.62%
2023-03-24;"8488";APV;-0.77%;-14.86%;-1.98%;"83.18%";-18.40%
2023-03-25;"8488";APV;-0.77%;-14.85%;-1.97%;"87.66%";-18.40%
2023-03-26;"8488";APV;-0.77%;-14.85%;-1.97%;"87.65%";-18.40%
2023-03-27;"8488";APV;-0.77%;-16.08%;-5.42%;"87.65%";-18.40%
2023-03-28;"8488";APV;"1.26%";-21.66%;-2.93%;"90.27%";-17.26%
2023-03-29;"8488";APV;"4.54%";-20.04%;"6.40%";"107.00%";-14.58%
2023-03-30;"8488";APV;"0.42%";-17.95%;-6.80%;"122.98%";-17.95%
2023-03-31;"8488";APV;-2.60%;-20.42%;-9.60%;"103.36%";-20.42%
2023-04-01;"8488";APV;-5.80%;-20.42%;-9.60%;"92.76%";-20.41%
2023-04-02;"8488";APV;-7.84%;-20.42%;-9.60%;"92.75%";-20.41%
2023-04-03;"8488";APV;-7.94%;-20.42%;-9.60%;"92.75%";-20.41%
2023-04-04;"8488";APV;-8.83%;-21.88%;-11.82%;"90.91%";-21.17%
2023-04-05;"8488";APV;-8.66%;-20.45%;"1.71%";"110.13%";-21.03%
2023-04-06;"8488";APV;-4.75%;-23.33%;"6.73%";"109.60%";-17.65%
2023-04-07;"8488";APV;-7.71%;-23.33%;"7.72%";"98.12%";-17.65%
2023-04-08;"8488";APV;-7.64%;-23.33%;"7.72%";"99.81%";-17.65%
2023-04-09;"8488";APV;-8.53%;-23.33%;"7.72%";"99.80%";-17.65%
2023-04-10;"8488";APV;-14.62%;-19.45%;"7.72%";"99.80%";-17.65%
2023-04-11;"8488";APV;-13.36%;-18.14%;"9.32%";"102.77%";-16.42%
2023-04-12;"8488";APV;-11.88%;-13.12%;"4.58%";"98.13%";-15.00%
2023-04-13;"8488";APV;-8.73%;-8.50%;"14.82%";"101.30%";-11.96%
2023-04-14;"8488";APV;-9.75%;-12.08%;"10.68%";"110.43%";-15.40%
2023-04-15;"8488";APV;-1.33%;-12.07%;"10.68%";"110.43%";-15.39%
2023-04-16;"8488";APV;"0.69%";-12.07%;"10.68%";"110.43%";-15.39%
2023-04-17;"8488";APV;"7.27%";-12.27%;"10.68%";"110.43%";-15.39%
2023-04-18;"8488";APV;"8.68%";-10.33%;"28.99%";"113.21%";-14.27%
2023-04-19;"8488";APV;"7.81%";-10.65%;"35.40%";"97.08%";-14.96%
2023-04-20;"8488";APV;"9.85%";-14.83%;"31.72%";"107.63%";-13.35%
2023-04-21;"8488";APV;"8.88%";-13.99%;"38.35%";"93.31%";-12.49%
2023-04-22;"8488";APV;"14.39%";-13.99%;"38.35%";"84.10%";-12.49%
2023-04-23;"8488";APV;"4.95%";-13.99%;"38.35%";"84.09%";-12.49%
2023-04-24;"8488";APV;"7.25%";-10.28%;"38.35%";"84.09%";-12.49%
2023-04-25;"8488";APV;"9.23%";-11.11%;"38.12%";"87.50%";-10.87%
2023-04-26;"8488";APV;"19.79%";-1.16%;"58.48%";"114.26%";-2.25%
2023-04-27;"8488";APV;"19.44%";"1.39%";"47.56%";"94.34%";-2.53%
2023-04-28;"8488";APV;"12.94%";-2.80%;"39.99%";"84.61%";-6.56%
2023-04-29;"8488";APV;"9.40%";-2.80%;"39.99%";"98.77%";-6.55%
2023-04-30;"8488";APV;"13.90%";-2.80%;"39.99%";"98.76%";-6.55%
2023-05-01;"8488";APV;"17.42%";-8.16%;"39.99%";"98.76%";-6.55%
2023-05-02;"8488";APV;"17.42%";-5.34%;"39.99%";"98.76%";-6.55%
2023-05-03;"8488";APV;"19.46%";"9.85%";"28.95%";"110.89%";-4.93%
2023-05-04;"8488";APV;"21.48%";"10.63%";"25.16%";"109.93%";-4.24%
2023-05-05;"8488";APV;"18.99%";"8.56%";"22.81%";"119.93%";-6.04%
2023-05-06;"8488";APV;"14.11%";"8.57%";"22.82%";"81.73%";-6.03%
2023-05-07;"8488";APV;"14.10%";"4.39%";"22.82%";"81.72%";-6.03%
2023-05-08;"8488";APV;"14.10%";"5.08%";"18.57%";"81.72%";-6.03%
2023-05-09;"8488";APV;"14.39%";"3.07%";"19.96%";"82.18%";-5.79%
2023-05-10;"8488";APV;"10.64%";-1.23%;"4.98%";"58.75%";-8.89%
2023-05-11;"8488";APV;"4.24%";-5.56%;"23.33%";"23.92%";-12.88%
2023-05-12;"8488";APV;"4.38%";-3.81%;"25.61%";"15.65%";-11.27%
2023-05-13;"8488";APV;"0.79%";-3.81%;"25.61%";"22.62%";-11.27%
2023-05-14;"8488";APV;"4.88%";-1.34%;"25.61%";"22.62%";-11.27%
2023-05-15;"8488";APV;"4.87%";"4.68%";"18.29%";"22.62%";-11.27%
2023-05-16;"8488";APV;"0.14%";"12.13%";"23.35%";"17.08%";-15.27%
2023-05-17;"8488";APV;"1.57%";"4.47%";"22.66%";"5.37%";-14.06%
2023-05-18;"8488";APV;"0.53%";"4.76%";"18.58%";"10.37%";-13.82%
2023-05-19;"8488";APV;-2.45%;"0.84%";"14.13%";-6.40%;-17.04%
2023-05-20;"8488";APV;-4.26%;"0.85%";"14.14%";-0.44%;-17.04%
2023-05-21;"8488";APV;-5.20%;"2.32%";"14.14%";-0.45%;-17.04%
2023-05-22;"8488";APV;-5.20%;-4.05%;"7.48%";-0.45%;-17.04%
2023-05-23;"8488";APV;-7.78%;-5.68%;"2.48%";-3.16%;-19.29%
2023-05-24;"8488";APV;-6.27%;-0.26%;"5.51%";-0.73%;-17.98%
2023-05-25;"8488";APV;-7.79%;-0.06%;"6.71%";-14.32%;-17.81%
2023-05-26;"8488";APV;-11.23%;"5.52%";"12.66%";-10.72%;-13.23%
2023-05-27;"8488";APV;-10.97%;"5.52%";"12.66%";-6.05%;-13.22%
2023-05-28;"8488";APV;-7.14%;"6.20%";"12.66%";-6.06%;-13.22%
2023-05-29;"8488";APV;-7.14%;"6.20%";"7.27%";-6.06%;-13.22%
2023-05-30;"8488";APV;-11.48%;"1.24%";-3.14%;-10.45%;-17.28%
2023-05-31;"8488";APV;-14.39%;-2.09%;-6.32%;-13.92%;-20.00%
2023-06-01;"8488";APV;-15.02%;-6.00%;"1.29%";-17.64%;-20.59%
2023-06-02;"8488";APV;-17.73%;-10.97%;-0.30%;-24.42%;-23.12%
2023-06-03;"8488";APV;-19.13%;-11.07%;-0.30%;-13.55%;-23.11%
2023-06-04;"8488";APV;-19.71%;-11.07%;-0.30%;-13.55%;-23.11%
2023-06-05;"8488";APV;-18.18%;-11.07%;-0.30%;-13.55%;-23.11%
2023-06-06;"8488";APV;-19.95%;-13.00%;-11.20%;-15.43%;-24.78%
2023-06-07;"8488";APV;-20.48%;-16.26%;-17.33%;-20.72%;-25.28%
2023-06-08;"8488";APV;-14.72%;-10.13%;-11.34%;-12.68%;-19.87%
2023-06-09;"8488";APV;-16.01%;-12.12%;-12.46%;-11.07%;-20.88%
2023-06-10;"8488";APV;-13.16%;-17.97%;-12.47%;-16.37%;-20.88%
2023-06-11;"8488";APV;-9.18%;-17.97%;-12.47%;-16.38%;-20.88%
2023-06-12;"8488";APV;-10.83%;-17.97%;-12.47%;-16.38%;-20.88%
2023-06-13;"8488";APV;-13.52%;-20.45%;-11.34%;-18.90%;-23.27%
2023-06-14;"8488";APV;-14.60%;-19.17%;-8.94%;-30.68%;-24.23%
2023-06-15;"8488";APV;-14.01%;-11.02%;-6.26%;-31.68%;-23.70%
2023-06-16;"8488";APV;-12.21%;-11.49%;-15.05%;-25.80%;-25.62%
2023-06-17;"8488";APV;-13.45%;-5.70%;-15.05%;-33.91%;-25.62%
2023-06-18;"8488";APV;-13.69%;-5.70%;-15.05%;-33.92%;-25.62%
2023-06-19;"8488";APV;-10.34%;-5.70%;-15.05%;-33.92%;-25.62%
2023-06-20;"8488";APV;-11.67%;-7.10%;-20.45%;-34.90%;-26.72%
2023-06-21;"8488";APV;-11.67%;-8.83%;-20.95%;-34.90%;-26.72%
2023-06-22;"8488";APV;-11.67%;-4.21%;-20.46%;-34.90%;-26.72%
2023-06-23;"8488";APV;-9.89%;-12.79%;-24.12%;-33.59%;-27.28%
2023-06-24;"8488";APV;-11.33%;-10.88%;-24.12%;-30.42%;-27.27%
2023-06-25;"8488";APV;-11.52%;-10.88%;-24.12%;-30.43%;-27.27%
2023-06-26;"8488";APV;-16.19%;-10.88%;-24.12%;-30.43%;-27.27%
2023-06-27;"8488";APV;-16.19%;-10.88%;-25.21%;-30.43%;-27.27%
2023-06-28;"8488";APV;-18.84%;-14.88%;-33.32%;-32.62%;-29.57%
2023-06-29;"8488";APV;-21.37%;-20.11%;-36.13%;-38.92%;-31.76%
2023-06-30;"8488";APV;-14.79%;-14.09%;-29.51%;-36.79%;-29.51%
2023-07-01;"8488";APV;-11.24%;-11.43%;-29.51%;-40.30%;-29.51%
2023-07-02;"8488";APV;-8.31%;-11.43%;-29.51%;-40.30%;-29.51%
2023-07-03;"8488";APV;-8.32%;-11.43%;-29.51%;-40.30%;-29.51%
2023-07-04;"8488";APV;-9.10%;-11.34%;-30.74%;-40.81%;-30.11%
2023-07-05;"8488";APV;-9.37%;-11.76%;-29.80%;-38.38%;-30.32%
2023-07-06;"8488";APV;-8.34%;-16.27%;-35.81%;-28.36%;-31.05%
2023-07-07;"8488";APV;-3.54%;-12.47%;-32.90%;-29.19%;-27.92%
2023-07-08;"8488";APV;-10.05%;-12.47%;-32.90%;-23.09%;-27.92%
2023-07-09;"8488";APV;-8.89%;-12.47%;-32.90%;-23.09%;-27.92%
2023-07-10;"8488";APV;-8.90%;-12.47%;-29.50%;-23.09%;-27.92%
2023-07-11;"8488";APV;-10.98%;-15.72%;-31.01%;-24.85%;-29.56%
2023-07-12;"8488";APV;-14.73%;-20.63%;-31.04%;-31.22%;-32.54%
2023-07-13;"8488";APV;-12.99%;-24.16%;-30.61%;-33.68%;-33.23%
2023-07-14;"8488";APV;-17.45%;-26.07%;-35.00%;-34.88%;-37.45%
2023-07-15;"8488";APV;-18.02%;-26.07%;-35.00%;-43.80%;-37.45%
2023-07-16;"8488";APV;-15.90%;-26.07%;-35.00%;-43.80%;-37.45%
2023-07-17;"8488";APV;-15.91%;-26.07%;-35.14%;-43.80%;-37.45%
2023-07-18;"8488";APV;-17.64%;-28.54%;-35.92%;-44.96%;-38.74%
2023-07-19;"8488";APV;-18.00%;-28.27%;-35.91%;-45.57%;-39.01%
2023-07-20;"8488";APV;-16.01%;-28.97%;-39.51%;-43.23%;-38.45%
2023-07-21;"8488";APV;-12.75%;-26.94%;-37.16%;-34.06%;-36.07%
2023-07-22;"8488";APV;-12.75%;-26.94%;-37.16%;-30.81%;-36.06%
2023-07-23;"8488";APV;-12.08%;-26.94%;-37.16%;-30.81%;-36.06%
2023-07-24;"8488";APV;-12.09%;-26.94%;-34.45%;-30.81%;-36.06%
2023-07-25;"8488";APV;-11.46%;-27.76%;-35.78%;-30.32%;-35.61%
2023-07-26;"8488";APV;-11.40%;-34.08%;-34.85%;-34.54%;-35.56%
2023-07-27;"8488";APV;-10.87%;-33.50%;-32.57%;-41.07%;-35.18%
2023-07-28;"8488";APV;-7.03%;-29.93%;-31.89%;-34.41%;-34.52%
2023-07-29;"8488";APV;-4.04%;-29.93%;-31.89%;-33.55%;-34.52%
2023-07-30;"8488";APV;-7.11%;-29.93%;-31.89%;-33.56%;-34.52%
2023-07-31;"8488";APV;-7.11%;-29.93%;-37.14%;-33.56%;-34.52%
2023-01-31;"8480";APV;-6.60%;-6.72%;"14.58%";-9.05%;-6.59%
2023-02-01;"8480";APV;-8.41%;-8.53%;"12.36%";-10.34%;-8.40%
2023-02-02;"8480";APV;-10.18%;-10.30%;"10.69%";-7.48%;-10.17%
2023-02-03;"8480";APV;-9.29%;-9.40%;"17.60%";-10.53%;-9.28%
2023-02-04;"8480";APV;-7.03%;-8.67%;"19.26%";-7.31%;-9.27%
2023-02-05;"8480";APV;-10.33%;-8.68%;"21.60%";-7.33%;-9.27%
2023-02-06;"8480";APV;-7.79%;-8.68%;"21.58%";-7.33%;-9.27%
2023-02-07;"8480";APV;-9.30%;-10.17%;"19.60%";-8.83%;-10.74%
2023-02-08;"8480";APV;-4.84%;-6.60%;"25.48%";-3.48%;-6.36%
2023-02-09;"8480";APV;-3.01%;-9.79%;"23.11%";"1.35%";-4.56%
2023-02-10;"8480";APV;-2.27%;"2.55%";"26.13%";-7.23%;-4.87%
2023-02-11;"8480";APV;-1.02%;"5.59%";"22.90%";-12.57%;-4.85%
2023-02-12;"8480";APV;-1.15%;"5.58%";"27.47%";-12.58%;-4.85%
2023-02-13;"8480";APV;"0.88%";"5.58%";"27.45%";-12.58%;-4.85%
2023-02-14;"8480";APV;"1.46%";"6.19%";"28.19%";-12.07%;-4.30%
2023-04-25;"8113";B;"5.77%";"13.01%";"39.35%";"29.11%";"15.29%"
2023-02-15;"8480";APV;-0.52%;"5.02%";"25.70%";-11.67%;-6.16%
2023-02-16;"8480";APV;"2.55%";"7.91%";"29.58%";-10.00%;-3.27%
2023-02-17;"8480";APV;"4.63%";"14.70%";"33.58%";-13.41%;-1.77%
2023-02-18;"8480";APV;-0.13%;"17.24%";"40.86%";-15.87%;-1.75%
2023-02-19;"8480";APV;"1.41%";"17.22%";"43.55%";-15.88%;-1.75%
2023-02-20;"8480";APV;"5.03%";"17.22%";"43.53%";-15.88%;-1.75%
2023-02-21;"8480";APV;"8.30%";"20.89%";"48.02%";-13.24%;"1.32%"
2023-02-22;"8480";APV;"8.25%";"21.63%";"47.95%";-15.65%;"1.27%"
2023-02-23;"8480";APV;"4.18%";"16.88%";"35.34%";-23.62%;-2.54%
2023-02-24;"8480";APV;-0.16%;"12.46%";"31.35%";-16.16%;-3.59%
2023-02-25;"8480";APV;-1.24%;"12.76%";"34.76%";-13.32%;-3.58%
2023-02-26;"8480";APV;-0.16%;"12.74%";"20.56%";-13.33%;-3.58%
2023-02-27;"8480";APV;"1.53%";"12.74%";"20.54%";-13.33%;-3.58%
2023-02-28;"8480";APV;"1.73%";"12.99%";"20.81%";-13.14%;-3.37%
2023-03-01;"8480";APV;"11.27%";"20.38%";"23.72%";-10.31%;"1.92%"
2023-03-02;"8480";APV;"10.99%";"15.77%";"14.61%";-7.96%;-0.30%
2023-03-03;"8480";APV;"7.54%";"13.26%";"12.13%";-12.65%;-2.44%
2023-03-04;"8480";APV;"7.54%";"13.28%";"12.14%";-12.94%;-2.43%
2023-03-05;"8480";APV;"7.54%";"13.28%";"12.14%";-12.95%;-2.43%
2023-03-06;"8480";APV;"7.54%";"9.17%";"17.25%";-12.95%;-2.43%
2023-03-07;"8480";APV;"13.53%";"11.15%";"26.38%";-9.60%;"1.33%"
